Version: 2, OpenDRIVE: ./ALKS_Road_straight.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
1.075, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.100, 0, Ego, 23.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.115
1.100, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.125, 0, Ego, 23.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.306
1.125, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.150, 0, Ego, 24.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.496
1.150, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.175, 0, Ego, 24.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.687
1.175, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.200, 0, Ego, 25.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.594
1.200, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.225, 0, Ego, 25.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.785
1.225, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.250, 0, Ego, 25.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.975
1.250, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.275, 0, Ego, 26.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.166
1.275, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.300, 0, Ego, 26.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.356
1.300, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.325, 0, Ego, 27.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.263
1.325, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.350, 0, Ego, 27.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.454
1.350, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.375, 0, Ego, 27.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.644
1.375, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.400, 0, Ego, 28.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.835
1.400, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.425, 0, Ego, 28.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.025
1.425, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.450, 0, Ego, 29.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.216
1.450, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.475, 0, Ego, 29.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.123
1.475, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.500, 0, Ego, 30.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.314
1.500, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.525, 0, Ego, 30.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.504
1.525, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.550, 0, Ego, 30.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.694
1.550, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.575, 0, Ego, 31.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.885
1.575, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.600, 0, Ego, 31.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.792
1.600, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.625, 0, Ego, 32.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.983
1.625, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.650, 0, Ego, 32.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.173
1.650, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.675, 0, Ego, 32.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.364
1.675, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.700, 0, Ego, 33.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.554
1.700, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.725, 0, Ego, 33.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.461
1.725, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.750, 0, Ego, 34.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.652
1.750, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.775, 0, Ego, 34.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.842
1.775, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.800, 0, Ego, 35.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.033
1.800, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.825, 0, Ego, 35.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.223
1.825, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.850, 0, Ego, 35.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.131
1.850, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.875, 0, Ego, 36.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.321
1.875, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.900, 0, Ego, 36.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.512
1.900, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.925, 0, Ego, 37.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.702
1.925, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.950, 0, Ego, 37.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.893
1.950, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.975, 0, Ego, 37.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.083
1.975, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.000, 0, Ego, 38.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.990
2.000, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.025, 0, Ego, 38.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.181
2.025, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.050, 0, Ego, 39.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.371
2.050, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.075, 0, Ego, 39.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.562
2.075, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.100, 0, Ego, 40.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.752
2.100, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.125, 0, Ego, 40.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.660
2.125, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.150, 0, Ego, 40.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.850
2.150, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.175, 0, Ego, 41.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.040
2.175, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.200, 0, Ego, 41.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.231
2.200, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.225, 0, Ego, 42.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.421
2.225, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.250, 0, Ego, 42.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.329
2.250, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.275, 0, Ego, 42.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.519
2.275, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.300, 0, Ego, 43.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.710
2.300, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.325, 0, Ego, 43.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.900
2.325, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.350, 0, Ego, 44.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.091
2.350, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.375, 0, Ego, 44.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.281
2.375, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.400, 0, Ego, 45.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.188
2.400, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.425, 0, Ego, 45.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.379
2.425, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.450, 0, Ego, 45.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.569
2.450, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.475, 0, Ego, 46.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.760
2.475, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.500, 0, Ego, 46.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.950
2.500, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.525, 0, Ego, 47.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.858
2.525, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.550, 0, Ego, 47.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.048
2.550, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.575, 0, Ego, 47.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.239
2.575, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.600, 0, Ego, 48.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.429
2.600, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.625, 0, Ego, 48.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.619
2.625, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.650, 0, Ego, 49.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.527
2.650, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
2.675, 0, Ego, 49.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.717
