esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ./resources/myresources/./FourWaySignal.xosc
Number of Vehicles: 1
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , 
38, 1.900000, Sedan, 0, 17.881599, -0.012765, 2.823760, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -45.451886, -2.290148, 0.000000, 17.796464, 1.742833, 0.000000, -0.000000, 0.000000, 0.000000, 72.538132, -1.750502, -1, -0.000502, 0.093857, -0.072657, 0.000000, 0.000000, 0.000000, -0.004035, , 
39, 1.950000, Sedan, 0, 17.881599, -0.009821, 5.378274, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -44.561451, -2.209547, 0.000000, 17.808711, 1.612015, 0.000000, 0.244949, -2.616364, 0.000000, 73.438570, -1.752083, -1, -0.002083, 0.091062, -0.055900, 0.000838, 0.000838, 0.000000, -0.004035, , 
40, 2.000000, Sedan, 0, 17.881599, -0.009343, 1.649603, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -43.670916, -2.130008, 0.000000, 17.810700, 1.590779, 0.000000, 0.039763, -0.424723, 0.000000, 74.339014, -1.751482, -1, -0.001482, 0.088403, -0.053180, 0.001812, 0.001812, 0.000000, -0.004035, , 
41, 2.050000, Sedan, 0, 17.881599, -0.021122, 4.204117, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -42.780051, -2.054345, 0.000000, 17.817289, 1.513264, 0.000000, 0.131795, -1.550295, 0.000000, 75.239449, -1.751523, -1, -0.001523, 0.082392, -0.120226, 6.282618, -0.000567, 0.000000, -0.004035, , 
42, 2.100000, Sedan, 0, 17.881599, -0.015121, 0.475446, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -41.888869, -1.982415, 0.000000, 17.823636, 1.438608, 0.000000, 0.126934, -1.493114, 0.000000, 76.139893, -1.752063, -1, -0.002063, 0.078089, -0.086066, 6.281948, -0.001237, 0.000000, -0.004035, , 
43, 2.150000, Sedan, 0, 17.881599, -0.010906, 3.029961, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -40.997595, -1.911691, 0.000000, 17.825480, 1.414480, 0.000000, 0.036876, -0.482561, 0.000000, 77.040330, -1.750564, -1, -0.000564, 0.074985, -0.062076, 6.282477, -0.000708, 0.000000, -0.004035, , 
44, 2.200000, Sedan, 0, 17.881599, -0.011630, 5.584475, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -40.105832, -1.847374, 0.000000, 17.835273, 1.286333, 0.000000, 0.195852, -2.562946, 0.000000, 77.940772, -1.752244, -1, -0.002244, 0.071675, -0.066196, 6.282800, -0.000385, 0.000000, -0.004035, , 
45, 2.250000, Sedan, 0, 17.881599, -0.011630, 1.855804, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -39.214068, -1.783057, 0.000000, 17.835273, 1.286333, 0.000000, -0.000000, 0.000000, 0.000000, 78.841214, -1.750675, -1, -0.000675, 0.068365, -0.066196, 6.283123, -0.000062, 0.000000, -0.004035, , 
46, 2.300000, Sedan, 0, 17.881599, -0.012546, 4.410318, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -38.321887, -1.724893, 0.000000, 17.843618, 1.163294, 0.000000, 0.166919, -2.460781, 0.000000, 79.741651, -1.752024, -1, -0.002024, 0.064794, -0.071413, 6.283185, -0.000000, 0.000000, -0.004035, , 
47, 2.350000, Sedan, 0, 17.881599, -0.012765, 0.681647, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -37.429607, -1.668194, 0.000000, 17.845608, 1.133964, 0.000000, 0.039790, -0.586603, 0.000000, 80.642095, -1.751595, -1, -0.001595, 0.061162, -0.072657, 0.000000, 0.000000, 0.000000, -0.004035, , 
