Version: 2, OpenDRIVE: ./FourWaySignal.xodr, 3DModel: ./FourWaySignal.osgb
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
3.900, 0, Sedan, -10.198, 1.995, 0.000, 6.234, 0.000, 0.000, 17.882, -0.014, 4.473
3.950, 0, Sedan, -9.305, 1.947, 0.000, 6.231, 0.000, 0.000, 17.882, -0.013, 0.745
4.000, 0, Sedan, -8.412, 1.899, 0.000, 6.227, 0.000, 0.000, 17.882, -0.013, 3.299
4.050, 0, Sedan, -7.520, 1.850, 0.000, 6.224, 0.000, 0.000, 17.882, -0.013, 5.854
4.100, 0, Sedan, -6.627, 1.792, 0.000, 6.220, 0.000, 0.000, 17.882, -0.013, 2.125
4.150, 0, Sedan, -5.735, 1.734, 0.000, 6.216, 0.000, 0.000, 17.882, -0.013, 4.680
4.200, 0, Sedan, -4.843, 1.676, 0.000, 6.213, 0.000, 0.000, 17.882, -0.013, 0.951
4.250, 0, Sedan, -3.951, 1.608, 0.000, 6.209, 0.000, 0.000, 17.882, -0.013, 3.505
4.300, 0, Sedan, -3.060, 1.541, 0.000, 6.206, 0.000, 0.000, 17.882, -0.013, 6.060
4.350, 0, Sedan, -2.168, 1.473, 0.000, 6.202, 0.000, 0.000, 17.882, -0.013, 2.331
4.400, 0, Sedan, -1.278, 1.396, 0.000, 6.199, 0.000, 0.000, 17.882, -0.013, 4.886
4.450, 0, Sedan, -0.387, 1.319, 0.000, 6.195, 0.000, 0.000, 17.882, -0.013, 1.157
4.500, 0, Sedan, 0.504, 1.241, 0.000, 6.191, 0.000, 0.000, 17.882, -0.013, 3.712
4.550, 0, Sedan, 1.394, 1.155, 0.000, 6.189, 0.000, 0.000, 17.882, -0.009, 6.266
4.600, 0, Sedan, 2.283, 1.068, 0.000, 6.186, 0.000, 0.000, 17.882, -0.009, 2.537
4.650, 0, Sedan, 3.173, 0.981, 0.000, 6.183, 0.000, 0.000, 17.882, -0.009, 5.092
4.700, 0, Sedan, 4.062, 0.888, 0.000, 6.180, 0.000, 0.000, 17.882, -0.013, 1.363
4.750, 0, Sedan, 4.952, 0.797, 0.000, 6.210, 0.000, 0.000, 17.882, 0.012, 3.918
4.800, 0, Sedan, 5.845, 0.768, 0.000, 0.022, 0.000, 0.000, 17.882, 0.037, 0.189
4.850, 0, Sedan, 6.736, 0.836, 0.000, 0.131, 0.000, 0.000, 17.882, 0.062, 2.744
4.900, 0, Sedan, 7.614, 1.001, 0.000, 0.240, 0.000, 0.000, 17.882, 0.087, 5.298
4.950, 0, Sedan, 8.470, 1.258, 0.000, 0.349, 0.000, 0.000, 17.882, 0.112, 1.569
5.000, 0, Sedan, 9.292, 1.608, 0.000, 0.458, 0.000, 0.000, 17.882, 0.137, 4.124
5.050, 0, Sedan, 10.070, 2.047, 0.000, 0.567, 0.000, 0.000, 17.882, 0.162, 0.395
5.100, 0, Sedan, 10.797, 2.567, 0.000, 0.676, 0.000, 0.000, 17.882, 0.187, 2.950
5.150, 0, Sedan, 11.462, 3.164, 0.000, 0.784, 0.000, 0.000, 17.882, 0.212, 5.504
5.200, 0, Sedan, 12.061, 3.827, 0.000, 0.898, 0.000, 0.000, 17.882, 0.237, 1.776
5.250, 0, Sedan, 12.602, 4.538, 0.000, 0.953, 0.000, 0.000, 17.882, 0.212, 4.330
5.300, 0, Sedan, 13.096, 5.283, 0.000, 1.023, 0.000, 0.000, 17.882, 0.237, 0.602
5.350, 0, Sedan, 13.535, 6.062, 0.000, 1.088, 0.000, 0.000, 17.882, 0.227, 3.156
5.400, 0, Sedan, 13.917, 6.870, 0.000, 1.165, 0.000, 0.000, 17.882, 0.252, 5.711
5.450, 0, Sedan, 14.241, 7.703, 0.000, 1.235, 0.000, 0.000, 17.882, 0.248, 1.982
5.500, 0, Sedan, 14.505, 8.557, 0.000, 1.306, 0.000, 0.000, 17.882, 0.248, 4.536
5.550, 0, Sedan, 14.709, 9.427, 0.000, 1.377, 0.000, 0.000, 17.882, 0.248, 0.808
5.600, 0, Sedan, 14.850, 10.310, 0.000, 1.447, 0.000, 0.000, 17.882, 0.248, 3.362
5.650, 0, Sedan, 14.929, 11.200, 0.000, 1.518, 0.000, 0.000, 17.882, 0.248, 5.917
5.700, 0, Sedan, 14.951, 12.094, 0.000, 1.562, 0.000, 0.000, 17.882, 0.223, 2.188
5.750, 0, Sedan, 14.957, 12.988, 0.000, 1.567, 0.000, 0.000, 17.882, 0.198, 4.743
5.800, 0, Sedan, 14.961, 13.882, 0.000, 1.569, 0.000, 0.000, 17.882, 0.173, 1.014
5.850, 0, Sedan, 14.963, 14.776, 0.000, 1.571, 0.000, 0.000, 17.882, 0.148, 3.568
5.900, 0, Sedan, 14.960, 15.670, 0.000, 1.575, 0.000, 0.000, 17.882, 0.123, 6.123
5.950, 0, Sedan, 14.956, 16.564, 0.000, 1.578, 0.000, 0.000, 17.882, 0.098, 2.394
6.000, 0, Sedan, 14.946, 17.458, 0.000, 1.582, 0.000, 0.000, 17.882, 0.073, 4.949
6.050, 0, Sedan, 14.936, 18.352, 0.000, 1.586, 0.000, 0.000, 17.882, 0.048, 1.220
6.100, 0, Sedan, 14.920, 19.246, 0.000, 1.589, 0.000, 0.000, 17.882, 0.023, 3.775
6.150, 0, Sedan, 14.903, 20.140, 0.000, 1.593, 0.000, 0.000, 17.882, 0.012, 0.046
6.200, 0, Sedan, 14.881, 21.034, 0.000, 1.596, 0.000, 0.000, 17.882, 0.012, 2.600
6.250, 0, Sedan, 14.857, 21.928, 0.000, 1.600, 0.000, 0.000, 17.882, 0.012, 5.155
6.300, 0, Sedan, 14.829, 22.821, 0.000, 1.603, 0.000, 0.000, 17.882, 0.012, 1.426
6.350, 0, Sedan, 14.799, 23.715, 0.000, 1.607, 0.000, 0.000, 17.882, 0.012, 3.981
6.400, 0, Sedan, 14.765, 24.608, 0.000, 1.610, 0.000, 0.000, 17.882, 0.012, 0.252
6.450, 0, Sedan, 14.728, 25.502, 0.000, 1.614, 0.000, 0.000, 17.882, 0.012, 2.807
6.500, 0, Sedan, 14.688, 26.395, 0.000, 1.617, 0.000, 0.000, 17.882, 0.012, 5.361
6.550, 0, Sedan, 14.644, 27.288, 0.000, 1.621, 0.000, 0.000, 17.882, 0.012, 1.633
6.600, 0, Sedan, 14.598, 28.181, 0.000, 1.625, 0.000, 0.000, 17.882, 0.012, 4.187
6.650, 0, Sedan, 14.548, 29.074, 0.000, 1.628, 0.000, 0.000, 17.882, 0.012, 0.458
6.700, 0, Sedan, 14.496, 29.966, 0.000, 1.632, 0.000, 0.000, 17.882, 0.012, 3.013
6.750, 0, Sedan, 14.439, 30.858, 0.000, 1.635, 0.000, 0.000, 17.882, 0.012, 5.567
6.800, 0, Sedan, 14.381, 31.751, 0.000, 1.639, 0.000, 0.000, 17.882, 0.012, 1.839
6.850, 0, Sedan, 14.318, 32.642, 0.000, 1.642, 0.000, 0.000, 17.882, 0.012, 4.393
6.900, 0, Sedan, 14.254, 33.534, 0.000, 1.646, 0.000, 0.000, 17.882, 0.012, 0.665
6.950, 0, Sedan, 14.183, 34.425, 0.000, 1.648, 0.000, 0.000, 17.882, 0.006, 3.219
