Version: 2, OpenDRIVE: ./circle.xodr, 3DModel: ./circle.osgb
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.650, 0, Sedan, -146.418, 13.576, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 1.793
0.650, 1, Sedan2, -4.892, -72.290, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 1.793
0.650, 2, Sedan3, 93.382, 1.368, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 1.793
0.650, 3, Sedan4, -78.674, 1.211, 0.000, 1.717, 0.000, 0.000, 17.882, -0.047, 1.793
0.675, 0, Sedan, -145.971, 13.581, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 3.070
0.675, 1, Sedan2, -4.875, -71.843, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 3.070
0.675, 2, Sedan3, 92.935, 1.360, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 3.070
0.675, 3, Sedan4, -78.738, 1.653, 0.000, 1.710, 0.000, 0.000, 17.882, -0.047, 3.070
0.700, 0, Sedan, -145.524, 13.587, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 4.347
0.700, 1, Sedan2, -4.859, -71.397, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 4.347
0.700, 2, Sedan3, 92.488, 1.351, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 4.347
0.700, 3, Sedan4, -78.799, 2.096, 0.000, 1.704, 0.000, 0.000, 17.882, -0.047, 4.347
0.725, 0, Sedan, -145.077, 13.592, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 5.625
0.725, 1, Sedan2, -4.843, -70.950, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 5.625
0.725, 2, Sedan3, 92.041, 1.343, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 5.625
0.725, 3, Sedan4, -78.856, 2.540, 0.000, 1.697, 0.000, 0.000, 17.882, -0.047, 5.625
0.750, 0, Sedan, -144.630, 13.598, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 0.619
